,start_x,start_y,end_x,end_y,imgPath
0,172.8353591,270.06408839999995,133.798895,343.04530389999996,TCGA-BP-4343/1.3.6.1.4.1.14519.5.2.1.9203.4004.178060436087844836988805217813/56
1,149.0989011,287.1288711,211.50049950000002,312.19180819999997,TCGA-B8-4146/1.3.6.1.4.1.14519.5.2.1.8421.4004.114664421214001310348575665107/11
2,131.1968032,338.7892108,185.4145854,267.6923077,TCGA-B8-5163/1.3.6.1.4.1.14519.5.2.1.8421.4004.114769492907162224968968540890/33
3,178.25374630000002,319.35264739999997,218.1498501,294.8011988,TCGA-B8-5549/1.3.6.1.4.1.14519.5.2.1.8421.4004.121288377666092770656145856219/15
4,133.75424579999998,376.12787210000005,164.4435564,329.58241760000004,TCGA-B8-5164/1.3.6.1.4.1.14519.5.2.1.8421.4004.131633711319346979061736856183/33
5,362.90109889999997,368.4555445,371.59640360000003,317.3066933,TCGA-B8-A54F/1.3.6.1.4.1.14519.5.2.1.8421.4004.135528848419047231831073159167/23
6,92.83516484,291.2207792,113.8061938,283.5484515,TCGA-B8-5158/1.3.6.1.4.1.14519.5.2.1.8421.4004.135865630411581743002213655570/20
7,119.94405590000001,311.6803197,186.9490509,343.3926074,TCGA-B8-5163/1.3.6.1.4.1.14519.5.2.1.8421.4004.137765830721760501574516498469/37
8,126.08191809999998,332.1398601,176.71928069999998,337.7662338,TCGA-B8-5165/1.3.6.1.4.1.14519.5.2.1.8421.4004.137820108897901788087101839456/29
9,311.7522478,317.8181818,369.55044960000004,315.7722278,TCGA-B8-4620/1.3.6.1.4.1.14519.5.2.1.8421.4004.148954008431541821552497749838/40
10,218.66133870000002,232.39960040000003,189.5064935,290.70929069999994,TCGA-B8-4151/1.3.6.1.4.1.14519.5.2.1.8421.4004.149015150221989695969862138289/37
11,309.7062937,283.036963,346.021978,303.4965035,TCGA-B8-4619/1.3.6.1.4.1.14519.5.2.1.8421.4004.156242317024391223919852147164/29
12,76.46753247,204.2677323,150.1218781,153.6303696,TCGA-B8-A54E/1.3.6.1.4.1.14519.5.2.1.8421.4004.187310743962446536351224828157/23
13,189.5064935,313.7262737,173.1388611,286.1058941,TCGA-B8-5159/1.3.6.1.4.1.14519.5.2.1.8421.4004.203997599260219864165276985645/30
14,313.7982018,243.1408591,389.49850150000003,247.7442557,TCGA-B8-5553/1.3.6.1.4.1.14519.5.2.1.8421.4004.209549511266465052166933094309/22
15,344.4875125,327.53646349999997,405.3546454,280.47952050000004,TCGA-B8-4153/1.3.6.1.4.1.14519.5.2.1.8421.4004.213335936338838108287350395636/21
16,189.5064935,343.90409589999996,137.84615380000002,243.1408591,TCGA-B8-5550/1.3.6.1.4.1.14519.5.2.1.8421.4004.245190347800897943985991332779/27
17,346.53346650000003,387.38061939999994,317.3786214,259.5084915,TCGA-B8-A54D/1.3.6.1.4.1.14519.5.2.1.8421.4004.247695120837742932822085447294/32
